dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe
addition_instances,M1,10,6110,6810001,add,1,WarmPSO,1,1500,1486,76,0,0.3231232,5241.86365119359,5241.86365119359,0,1,3490.38557065644,0.501800745241951,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO,1,2500,2476,76,0,0.3231232,5241.86365119359,5241.86365119359,0,1,3490.38557065644,0.501800745241951,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO_Relocate,1,500,491,76,175,0.3607933,5232.04778859996,5232.04778859996,0,1,3490.38557065644,0.498988487858083,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO_Relocate,1,1000,986,76,400,0.3607933,4487.25698085756,4487.25698085756,0,1,3490.38557065644,0.285604953957463,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO_Relocate,1,1500,1481,76,625,0.3607933,4062.86170610329,4062.86170610329,0,1,3490.38557065644,0.164015156451381,1,77
addition_instances,M1,10,6110,6810001,add,1,WarmPSO_Relocate,1,2500,2471,76,1075,0.3607933,3476.69132704038,3476.69132704038,0,1,3490.38557065644,-0.00392341858480662,1,77
addition_instances,M1,10,6110,6810002,add,1,Repair,2,500,19,0,0,0.0014734,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810002,add,1,Repair,2,1000,19,0,0,0.0014734,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810002,add,1,Repair,2,1500,19,0,0,0.0014734,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810002,add,1,Repair,2,2500,19,0,0,0.0014734,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810002,add,1,WarmPSO,2,500,498,78,0,0.3149995,6254.12083119428,6254.12083119428,0,1,3490.38557065644,0.791813742233087,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO,2,1000,978,78,0,0.3149995,5858.45872988323,5858.45872988323,0,1,3490.38557065644,0.678456036242847,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO,2,1500,1488,78,0,0.3149995,5740.17257217974,5740.17257217974,0,1,3490.38557065644,0.644566898407211,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO,2,2500,2478,78,0,0.3149995,5291.92431556444,5291.92431556444,0,1,3490.38557065644,0.516143190612948,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO_Relocate,2,500,493,78,175,0.368075,5198.15223360922,5198.15223360922,0,1,3490.38557065644,0.489277367322948,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO_Relocate,2,1000,988,78,400,0.368075,4676.633795949,4676.633795949,0,1,3490.38557065644,0.339861657481431,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO_Relocate,2,1500,1483,78,625,0.368075,3955.83032666585,3955.83032666585,0,1,3490.38557065644,0.133350527208912,1,79
addition_instances,M1,10,6110,6810002,add,1,WarmPSO_Relocate,2,2500,2473,78,1075,0.368075,3908.41219595133,3908.41219595133,0,1,3490.38557065644,0.119765171163103,1,79
addition_instances,M1,10,6110,6810003,add,1,Repair,3,500,19,0,0,0.0029133,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810003,add,1,Repair,3,1000,19,0,0,0.0029133,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810003,add,1,Repair,3,1500,19,0,0,0.0029133,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810003,add,1,Repair,3,2500,19,0,0,0.0029133,6489.22296435837,6489.22296435837,0,1,3490.38557065644,0.859170808782006,0,NaN
addition_instances,M1,10,6110,6810003,add,1,WarmPSO,3,500,497,77,0,0.3185241,5423.56172153092,5423.56172153092,0,1,3490.38557065644,0.553857478419184,1,78
addition_instances,M1,10,6110,6810003,add,1,WarmPSO,3,1000,977,77,0,0.3185241,5369.51191780076,5369.51191780076,0,1,3490.38557065644,0.538372139439862,1,78
addition_instances,M1,10,6110,6810003,add,1,WarmPSO,3,1500,1487,77,0,0.3185241,5369.51191780076,5369.51191780076,0,1,3490.38557065644,0.538372139439862,1,78
addition_instances,M1,10,6110,6810003,add,1,WarmPSO,3,2500,2477,77,0,0.3185241,5369.51191780076,5369.51191780076,0,1,3490.38557065644,0.538372139439862,1,78
