stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Tight,3,8303,WarmStart,2500,200,2280,2480,0.2607553,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,Repair,500,0,38,38,0.0047655,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,Repair,1000,0,38,38,0.0029965,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,Repair,1500,0,38,38,0.00314,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,3,8303,Repair,2500,0,38,38,0.003092,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,Restart,500,0,480,480,0.0495842,4788.32672740209,4788.32672740209,0,1,0.139729981164018,0.352941176470588
Tight,4,8304,Restart,1000,0,990,990,0.10698,5135.50067033749,5135.50067033749,0,1,0.222365225993497,0.588235294117647
Tight,4,8304,Restart,1500,0,1500,1500,0.1610218,4773.30330062025,4773.30330062025,0,1,0.136154066048391,0.411764705882353
Tight,4,8304,Restart,2500,0,2490,2490,0.257529,5033.09820149109,5033.09820149109,0,1,0.197991124029744,0.411764705882353
Tight,4,8304,WarmStart,500,200,300,500,0.0558233,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,WarmStart,1000,200,780,980,0.0995494,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,WarmStart,1500,200,1290,1490,0.1463733,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
