instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.3,31,StateSwitch,940205,25,775,775,1944.531,0,NaN,886.7685,NaN,propagation
rc_201.3,31,PSO,940205,50,1550,1550,4749.0324,0,NaN,1021.8694,NaN,none
rc_201.3,31,Global,940205,50,1550,1550,4789.4364,0,NaN,946.7858,NaN,global
rc_201.3,31,LateOnly,940205,50,1550,1550,0,1,1316,817.4081,0.0338954731156954,late
rc_201.3,31,Propagation,940205,50,1550,1550,0,1,1316,829.0737,0.0486506621469497,propagation
rc_201.3,31,StateSwitch,940205,50,1550,1550,0,1,1316,813.3521,0.0287652572064608,global
rc_201.3,31,PSO,940205,100,3100,3100,4745.9398,0,NaN,1022.4819,NaN,none
rc_201.3,31,Global,940205,100,3100,3100,171.8925,0,NaN,878.5897,NaN,global
rc_201.3,31,LateOnly,940205,100,3100,3100,0,1,1316,809.688,0.0241307344961485,late
rc_201.3,31,Propagation,940205,100,3100,3100,0,1,1316,811.693,0.0266667509897421,propagation
rc_201.3,31,StateSwitch,940205,100,3100,3100,0,1,1316,802.049,0.0144685748978636,global
rc_201.3,31,PSO,940206,25,775,775,10191.6185,0,NaN,975.9445,NaN,none
rc_201.3,31,Global,940206,25,775,775,6919.2688,0,NaN,1150.1164,NaN,global
rc_201.3,31,LateOnly,940206,25,775,775,1470.9315,0,NaN,1065.2012,NaN,late
rc_201.3,31,Propagation,940206,25,775,775,1725.7321,0,NaN,1065.3202,NaN,propagation
rc_201.3,31,StateSwitch,940206,25,775,775,1725.7321,0,NaN,1065.3202,NaN,propagation
rc_201.3,31,PSO,940206,50,1550,1550,8929.8034,0,NaN,878.5677,NaN,none
rc_201.3,31,Global,940206,50,1550,1550,892.595100000001,0,NaN,933.6574,NaN,global
rc_201.3,31,LateOnly,940206,50,1550,1550,209.535299999999,0,NaN,862.2112,NaN,late
rc_201.3,31,Propagation,940206,50,1550,1550,64.9321999999996,0,NaN,901.0738,NaN,propagation
rc_201.3,31,StateSwitch,940206,50,1550,1550,64.9321999999996,0,NaN,901.0738,NaN,propagation
rc_201.3,31,PSO,940206,100,3100,3100,8792.6645,0,NaN,885.9566,NaN,none
rc_201.3,31,Global,940206,100,3100,3100,258.6219,0,NaN,864.1267,NaN,global
rc_201.3,31,LateOnly,940206,100,3100,3100,5.85679999999991,0,NaN,882.2081,NaN,late
rc_201.3,31,Propagation,940206,100,3100,3100,5.66050000000007,0,NaN,886.4321,NaN,propagation
rc_201.3,31,StateSwitch,940206,100,3100,3100,5.66050000000007,0,NaN,886.4321,NaN,propagation
rc_201.3,31,PSO,940207,25,775,775,5914.1192,0,NaN,1053.0906,NaN,none
rc_201.3,31,Global,940207,25,775,775,5219.4784,0,NaN,988.2529,NaN,global
rc_201.3,31,LateOnly,940207,25,775,775,1319.9529,0,NaN,988.0928,NaN,late
rc_201.3,31,Propagation,940207,25,775,775,1359.7517,0,NaN,1017.6752,NaN,propagation
rc_201.3,31,StateSwitch,940207,25,775,775,1359.7517,0,NaN,1017.6752,NaN,propagation
