level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Moderate,2,3002,7920,2,150,add,2,WarmStart,500,UNKNOWN,,196,110,200,300,500,0.0392234,14649.7415746972,4108.64653874448,105.410950359528,0,0,NaN,0
Moderate,2,3002,8420,2,150,add,2,WarmStart,1000,UNKNOWN,,196,110,200,780,980,0.0728932,14649.7415746972,4108.64653874448,105.410950359528,0,0,NaN,0
Moderate,2,3002,8920,2,150,add,2,WarmStart,1500,UNKNOWN,,196,110,200,1290,1490,0.1071041,14649.7415746972,4108.64653874448,105.410950359528,0,0,NaN,0
Moderate,2,3002,9920,2,150,add,2,WarmStart,2500,UNKNOWN,,196,110,200,2280,2480,0.1771824,14649.7415746972,4108.64653874448,105.410950359528,0,0,NaN,0
Moderate,2,3002,7920,2,150,add,2,Repair,500,UNKNOWN,,196,110,0,32,32,0.0021818,15701.8422478071,3964.94323400042,117.368990138066,0,0,NaN,0
Moderate,2,3002,8420,2,150,add,2,Repair,1000,UNKNOWN,,196,110,0,32,32,0.0020159,15701.8422478071,3964.94323400042,117.368990138066,0,0,NaN,0
Moderate,2,3002,8920,2,150,add,2,Repair,1500,UNKNOWN,,196,110,0,32,32,0.0020293,15701.8422478071,3964.94323400042,117.368990138066,0,0,NaN,0
Moderate,2,3002,9920,2,150,add,2,Repair,2500,UNKNOWN,,196,110,0,32,32,0.0020464,15701.8422478071,3964.94323400042,117.368990138066,0,0,NaN,0
Severe,1,3001,7810,1,90,cancel,4,Restart,500,FEASIBLE,2765.6115506478,169,41,0,480,480,0.030472,3148.9427830822,3148.9427830822,0,0,1,0.138606317414536,0.692307692307692
Severe,1,3001,8310,1,90,cancel,4,Restart,1000,FEASIBLE,2765.6115506478,169,41,0,990,990,0.0634337,3437.77224497082,3437.77224497082,0,0,1,0.243042336934692,0.461538461538462
Severe,1,3001,8810,1,90,cancel,4,Restart,1500,FEASIBLE,2765.6115506478,169,41,0,1500,1500,0.094297,3339.51552281741,3339.51552281741,0,0,1,0.207514309822424,0.384615384615385
Severe,1,3001,9810,1,90,cancel,4,Restart,2500,FEASIBLE,2765.6115506478,169,41,0,2490,2490,0.1536856,3763.73075749781,3763.73075749781,0,0,1,0.360903615193612,0.538461538461538
Severe,1,3001,7810,1,90,cancel,4,WarmStart,500,FEASIBLE,2765.6115506478,169,41,43,450,493,0.0332003,3226.40766495525,3226.40766495525,0,0,1,0.166616354418796,0.307692307692308
Severe,1,3001,8310,1,90,cancel,4,WarmStart,1000,FEASIBLE,2765.6115506478,169,41,41,930,971,0.0628397,3855.34254302566,3855.34254302566,0,0,1,0.394028941672089,0.230769230769231
