level,instance,scenario_seed,algorithm_seed,strategy,budget,event_index,event_time,event_type,event_size,reused_legs,computed_legs,online_leg_time,warm_start_time,routing_or_repair_time,response_time,warm_start_fe,routing_or_repair_fe,total_fe,final_fitness,distance,total_late,obstacle_violation,route_disruption,is_feasible,first_feasible_fe,reference_found,reference_fe,reference_cost,state_x,state_y,state_z,state_time,relative_gap_to_best
Moderate,1,3001,7102,Repair,1000,2,150,add,2,144,96,1.4100161,0,0.0017531,1.4117692,0,28,28,9780.79468110471,4268.04431150616,55.1275036959855,0,0,0,Inf,0,Inf,4167.21967111602,610,500,375,150,0.825938248635397
Moderate,1,3001,7103,Repair,1500,1,90,cancel,2,196,44,0.6442439,0,9.9e-05,0.6443429,0,1,1,4745.1574558345,4745.1574558345,0,0,0,1,1,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.24175204366374
Moderate,1,3001,7103,Repair,1500,2,150,add,2,144,96,1.4162189,0,0.0016409,1.4178598,0,28,28,9780.79468110471,4268.04431150616,55.1275036959855,0,0,0,Inf,0,Inf,4167.21967111602,610,500,375,150,1.81479321102321
Moderate,1,3001,7104,Repair,2500,1,90,cancel,2,196,44,0.6433671,0,0.0001028,0.6434699,0,1,1,4745.1574558345,4745.1574558345,0,0,0,1,1,1,2,3039.24440957036,670.315503600199,260.622649356366,375,90,0.187366044077903
Moderate,1,3001,7104,Repair,2500,2,150,add,2,144,96,1.3822553,0,0.0018544,1.3841097,0,28,28,9780.79468110471,4268.04431150616,55.1275036959855,0,0,0,Inf,0,Inf,4167.21967111602,610,500,375,150,1.12320086558107
Moderate,2,3002,7201,Restart,500,1,90,cancel,2,196,44,0.6300581,0,0.0316565,0.6617146,0,480,480,3782.91680463982,3782.91680463982,0,0,0.714285714285714,1,438,0,Inf,5429.28501242684,430,500,375,90,0.0262677405682786
Moderate,2,3002,7201,Restart,500,2,150,add,2,144,96,1.4004215,0,0.0316865,1.432108,0,480,480,20540.5448895021,4401.27913650784,161.392657529942,0,0.583333333333333,0,Inf,0,Inf,5452.66050708117,850,500,375,150,4.00461063866189
Moderate,2,3002,7202,Restart,1000,1,90,cancel,2,196,44,0.6370379,0,0.0673497,0.7043876,0,990,990,3550.43279537922,3550.43279537922,0,0,0.357142857142857,1,381,0,Inf,5429.28501242684,430,500,375,90,0
Moderate,2,3002,7202,Restart,1000,2,150,add,2,121,89,1.2978278,0,0.0612203,1.3590481,0,990,990,5351.61088623594,3850.31306649264,15.0129781974329,0,0.454545454545455,0,Inf,0,Inf,4488.31939936978,345.442665777792,120,375,150,0
Moderate,2,3002,7203,Restart,1500,1,90,cancel,2,196,44,0.639587,0,0.0996026,0.7391896,0,1500,1500,3503.76724847524,3503.76724847524,0,0,0.5,1,900,0,Inf,5429.28501242684,430,500,375,90,0
