dataset,level,instance,seed_index,algorithm_seed,k,free_count,preprocess_fe,search_fe,total_fe,bks_cost,cost,gap_to_bks,improvement_over_repair,unique_route_ratio,route_change_rate,improvement_count,last_improvement_fe,is_feasible
addition_stress_instances,Tight,1,1,22501,4,6,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.512121212121212,0.932362122788762,1,219,1
addition_stress_instances,Tight,1,1,22501,6,8,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.712121212121212,0.977107180020812,1,385,1
addition_stress_instances,Tight,1,1,22501,8,10,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.793939393939394,0.965660770031218,1,659,1
addition_stress_instances,Tight,1,1,22501,12,14,39,991,1030,4251.83316513849,4293.90625809938,0.00989528312302002,0,0.929292929292929,0.964620187304891,0,0,1
addition_stress_instances,Tight,1,1,22501,Inf,19,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.983838383838384,0.982310093652445,1,489,1
addition_stress_instances,Tight,1,2,22502,0,2,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.097979797979798,0.863683662851197,1,185,1
addition_stress_instances,Tight,1,2,22502,2,4,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.346464646464646,0.941727367325702,1,133,1
addition_stress_instances,Tight,1,2,22502,4,6,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.537373737373737,0.968782518210198,1,153,1
addition_stress_instances,Tight,1,2,22502,6,8,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.641414141414141,0.979188345473465,1,296,1
addition_stress_instances,Tight,1,2,22502,8,10,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.822222222222222,0.967741935483871,1,637,1
addition_stress_instances,Tight,1,2,22502,12,14,39,991,1030,4251.83316513849,4293.90625809938,0.00989528312302002,0,0.91010101010101,0.95837669094693,0,0,1
addition_stress_instances,Tight,1,2,22502,Inf,19,39,991,1030,4251.83316513849,4293.90625809938,0.00989528312302002,0,0.962626262626263,0.965660770031218,0,0,1
addition_stress_instances,Tight,1,3,22503,0,2,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.109090909090909,0.890738813735692,1,217,1
addition_stress_instances,Tight,1,3,22503,2,4,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.31010101010101,0.922996878251821,1,54,1
addition_stress_instances,Tight,1,3,22503,4,6,39,991,1030,4251.83316513849,4282.33743278659,0.00717438019398625,0.00269424263535482,0.563636363636364,0.971904266389178,1,337,1
