stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
Far,5,8205,WarmStart,2500,200,2280,2480,0.214458,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,Repair,500,0,38,38,0.003057,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,Repair,1000,0,38,38,0.0031347,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,Repair,1500,0,38,38,0.003379,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Far,5,8205,Repair,2500,0,38,38,0.0034377,4031.37481224937,4031.37481224937,0,1,-0.318483512702097,0,0,4031.37481224937
Tight,1,8301,Restart,500,0,480,480,0.0434207,6632.00118894481,6632.00118894481,0,1,0.260750991270482,0.647058823529412,0.559798075644578,4251.83316513849
Tight,1,8301,Restart,1000,0,990,990,0.090891,4494.73826152262,4494.73826152262,0,1,-0.145545129249649,0.705882352941176,0.0571294984892048,4251.83316513849
Tight,1,8301,Restart,1500,0,1500,1500,0.1321908,5098.38127488806,5098.38127488806,0,1,-0.0307919038216139,0.352941176470588,0.199101911309824,4251.83316513849
Tight,1,8301,Restart,2500,0,2490,2490,0.2168317,4762.08040750064,4762.08040750064,0,1,-0.094723082336869,0.647058823529412,0.12000641195091,4251.83316513849
Tight,1,8301,WarmStart,500,200,300,500,0.0474636,4282.33743278659,4282.33743278659,0,1,-0.185922769082103,0,0.00717438019398561,4251.83316513849
Tight,1,8301,WarmStart,1000,200,780,980,0.0886155,4282.33743278659,4282.33743278659,0,1,-0.185922769082103,0,0.00717438019398561,4251.83316513849
