dataset,level,instance,strategy,algorithm_seed,checkpoint_fe,actual_fe,cost,gap_to_witness_bks,is_feasible,warm_start_fe,response_time,bks_cost,gap_to_bks
addition_instances,M2,6,WarmStart,1001602,500,500,3491.13069729247,0,1,200,0.2295844,3491.13069729247,0
addition_instances,M2,6,WarmStart,1001602,1000,980,3491.13069729247,0,1,200,0.2295844,3491.13069729247,0
addition_instances,M2,6,WarmStart,1001602,1500,1490,3491.13069729247,0,1,200,0.2295844,3491.13069729247,0
addition_instances,M2,6,WarmStart,1001602,2500,2480,3491.13069729247,0,1,200,0.2295844,3491.13069729247,0
addition_instances,M2,6,Repair,1001603,500,38,3491.13069729247,0,1,0,0.0029525,3491.13069729247,0
addition_instances,M2,6,Repair,1001603,1000,38,3491.13069729247,0,1,0,0.0029525,3491.13069729247,0
addition_instances,M2,6,Repair,1001603,1500,38,3491.13069729247,0,1,0,0.0029525,3491.13069729247,0
addition_instances,M2,6,Repair,1001603,2500,38,3491.13069729247,0,1,0,0.0029525,3491.13069729247,0
addition_instances,M2,7,Restart,1001701,500,480,5932.36686964149,0.699280961946157,1,0,0.222001,3491.10418023353,0.699280961946159
addition_instances,M2,7,Restart,1001701,1000,990,5703.5601658833,0.63374103762832,1,0,0.222001,3491.10418023353,0.633741037628322
addition_instances,M2,7,Restart,1001701,1500,1500,5556.31056599529,0.591562519805297,1,0,0.222001,3491.10418023353,0.591562519805299
addition_instances,M2,7,Restart,1001701,2500,2490,5355.98512880059,0.534180835715508,1,0,0.222001,3491.10418023353,0.534180835715511
addition_instances,M2,7,WarmStart,1001702,500,500,3491.10418023353,0,1,200,0.2220213,3491.10418023353,0
addition_instances,M2,7,WarmStart,1001702,1000,980,3491.10418023353,0,1,200,0.2220213,3491.10418023353,0
addition_instances,M2,7,WarmStart,1001702,1500,1490,3491.10418023353,0,1,200,0.2220213,3491.10418023353,0
addition_instances,M2,7,WarmStart,1001702,2500,2480,3491.10418023353,0,1,200,0.2220213,3491.10418023353,0
addition_instances,M2,7,Repair,1001703,500,38,3491.10418023353,0,1,0,0.0029965,3491.10418023353,0
addition_instances,M2,7,Repair,1001703,1000,38,3491.10418023353,0,1,0,0.0029965,3491.10418023353,0
addition_instances,M2,7,Repair,1001703,1500,38,3491.10418023353,0,1,0,0.0029965,3491.10418023353,0
addition_instances,M2,7,Repair,1001703,2500,38,3491.10418023353,0,1,0,0.0029965,3491.10418023353,0
addition_instances,M2,8,Restart,1001801,500,480,5021.58563340594,0.438393393938691,1,0,0.2248429,3491.1072691008,0.438393393938693
addition_instances,M2,8,Restart,1001801,1000,990,4630.15875618387,0.326272268161054,1,0,0.2248429,3491.1072691008,0.326272268161056
addition_instances,M2,8,Restart,1001801,1500,1500,4524.3632310652,0.295967978729721,1,0,0.2248429,3491.1072691008,0.295967978729721
addition_instances,M2,8,Restart,1001801,2500,2490,4294.8745322466,0.230232760322149,1,0,0.2248429,3491.1072691008,0.23023276032215
addition_instances,M2,8,WarmStart,1001802,500,500,3491.1072691008,0,1,200,0.2120618,3491.1072691008,0
addition_instances,M2,8,WarmStart,1001802,1000,980,3491.1072691008,0,1,200,0.2120618,3491.1072691008,0
addition_instances,M2,8,WarmStart,1001802,1500,1490,3491.1072691008,0,1,200,0.2120618,3491.1072691008,0
addition_instances,M2,8,WarmStart,1001802,2500,2480,3491.1072691008,0,1,200,0.2120618,3491.1072691008,0
addition_instances,M2,8,Repair,1001803,500,38,3491.1072691008,0,1,0,0.0029345,3491.1072691008,0
addition_instances,M2,8,Repair,1001803,1000,38,3491.1072691008,0,1,0,0.0029345,3491.1072691008,0
addition_instances,M2,8,Repair,1001803,1500,38,3491.1072691008,0,1,0,0.0029345,3491.1072691008,0
addition_instances,M2,8,Repair,1001803,2500,38,3491.1072691008,0,1,0,0.0029345,3491.1072691008,0
addition_instances,M2,9,Restart,1001901,500,480,5772.57540788322,0.653755807538171,1,0,0.2329708,3487.17063082967,0.655375093162506
addition_instances,M2,9,Restart,1001901,1000,990,4894.72340296674,0.40226444558782,1,0,0.2329708,3487.17063082967,0.403637481829269
addition_instances,M2,9,Restart,1001901,1500,1500,4206.86115642149,0.205202284484309,1,0,0.2329708,3487.17063082967,0.206382366044586
addition_instances,M2,9,Restart,1001901,2500,2490,3814.40320980312,0.0927690007980859,1,0,0.2329708,3487.17063082967,0.0938389925862603
addition_instances,M2,9,WarmStart,1001902,500,500,3490.58511635792,0,1,200,0.2122682,3487.17063082967,0.000979156425000588
addition_instances,M2,9,WarmStart,1001902,1000,980,3490.58511635792,0,1,200,0.2122682,3487.17063082967,0.000979156425000588
addition_instances,M2,9,WarmStart,1001902,1500,1490,3490.58511635792,0,1,200,0.2122682,3487.17063082967,0.000979156425000588
addition_instances,M2,9,WarmStart,1001902,2500,2480,3490.58511635792,0,1,200,0.2122682,3487.17063082967,0.000979156425000588
addition_instances,M2,9,Repair,1001903,500,38,3490.58511635792,0,1,0,0.0031,3487.17063082967,0.000979156425000588
