dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M4,2,Repair,1500,0,0.00160918712680885,1,1,80,0,4
addition_instances,M4,2,Repair,2500,0,0.00160918712680885,1,1,80,0,4
addition_instances,M4,3,Restart,500,1.2054539418802,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Restart,1000,0.89384181898268,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Restart,1500,0.652920892776325,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Restart,2500,0.69933891640166,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,WarmStart,500,0.0563622639592792,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,WarmStart,1000,0.0563622639592792,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,WarmStart,1500,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,WarmStart,2500,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Repair,500,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Repair,1000,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Repair,1500,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,3,Repair,2500,0,0.000381364063157591,1,1,80,0,4
addition_instances,M4,4,Restart,500,1.01477294792169,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Restart,1000,0.691577396418066,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Restart,1500,0.776545198706522,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Restart,2500,0.530559650614138,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,WarmStart,500,0.195060192151533,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,WarmStart,1000,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,WarmStart,1500,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,WarmStart,2500,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Repair,500,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Repair,1000,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,4,Repair,1500,0,0.000504756731213523,1,1,80,0,4
